Date,Lo-3Prior,7-Hi Prior,ValueLo30,ValueMed40,ValueHi30,SizeLo30,SizeMed40,SizeHi30,Mkt_RF,SMB,HML,RF,WML,Mkt,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR,Big_Small_Hi_Lo_Spread
1/31/1935,-0.07,-0.02,-0.0304,-0.029,-0.0838,-0.0414,-0.0373,-0.0339,-0.0345,0.0107,-0.0189,0.0001,0.036,-0.0344,-0.0494,-0.0375,-0.0377,-0.0721,-0.0319,-0.0118,0.036
2/28/1935,-0.14,0.02,-0.0089,-0.018,-0.1187,-0.0724,-0.0353,-0.0175,-0.0194,0.0042,-0.0724,0.0002,0.1375,-0.0192,-0.1482,-0.0473,-0.0147,-0.1113,-0.0316,0.0301,0.13745
3/31/1935,-0.04,-0.03,-0.03,-0.0348,-0.0834,-0.1159,-0.0659,-0.0323,-0.0368,-0.0354,-0.0506,0.0001,0.0286,-0.0367,-0.1204,-0.0913,-0.0726,-0.0444,-0.0332,-0.035,0.0286
4/30/1935,0.12,0.08,0.0802,0.0987,0.126,0.1083,0.0747,0.0911,0.0906,-0.0156,0.0427,0.0001,-0.0472,0.0907,0.1542,0.0886,0.0996,0.1144,0.0996,0.0747,-0.04715
5/31/1935,0.07,0.03,0.0308,0.0427,0.036,0.013,0.0113,0.0374,0.0347,-0.0328,0.0252,0.0001,-0.0367,0.0348,0.0277,0.0255,0.0181,0.094,0.039,0.0302,-0.0367
6/30/1935,0.06,0.06,0.063,0.0562,0.0695,0.0226,0.0593,0.0603,0.0593,-0.0503,0.0213,0.0001,0.0207,0.0594,0.002,0.0472,0.0721,0.0889,0.06,0.0601,0.02065
7/31/1935,0.13,0.07,0.0701,0.0651,0.1649,0.1444,0.1011,0.0721,0.0751,0.0147,0.0686,0.0001,-0.0422,0.0752,0.1365,0.1198,0.1249,0.1365,0.0805,0.0638,-0.04215
8/31/1935,0.16,0.03,0.0258,0.024,0.0523,0.1372,0.053,0.0232,0.0265,0.0628,0.057,0.0001,-0.0769,0.0266,0.1421,0.0637,0.0547,0.0872,0.0226,0.0209,-0.07685
9/30/1935,-0.06,0.05,0.0468,0.0083,0.0103,0.0198,0.0271,0.026,0.0263,0.0157,-0.0405,0.0001,0.0893,0.0264,-0.0024,0.0456,0.0881,-0.0417,0.0209,0.0465,0.08935
10/31/1935,0.07,0.09,0.0664,0.0807,0.0615,0.1027,0.0793,0.0688,0.0703,0.0265,-0.0233,0.0001,0.0209,0.0704,0.0896,0.0878,0.0987,0.0553,0.0605,0.0879,0.02085
11/30/1935,0.11,0.05,0.0308,0.0578,0.1524,0.2165,0.0824,0.0443,0.0488,0.043,0.1191,0.0002,-0.0591,0.049,0.2029,0.1122,0.1065,0.062,0.0459,0.0402,-0.0591
12/31/1935,0.03,0.05,0.0301,0.0597,0.0768,0.051,0.0802,0.0411,0.0456,0.0022,0.0107,0.0001,0.0375,0.0457,0.0352,0.0665,0.1021,0.0454,0.0373,0.0536,0.03755
1/31/1936,0.09,0.08,0.0336,0.0946,0.1374,0.2103,0.1062,0.0635,0.0689,0.051,0.1051,0.0001,-0.0336,0.069,0.1789,0.1138,0.1208,0.0719,0.0681,0.0627,-0.03365
2/29/1936,0.01,0.03,0.0191,0.0295,0.0705,0.0689,0.0357,0.0238,0.0249,0.0114,0.0504,0.0001,0.0257,0.025,0.038,0.0724,0.075,0.009,0.028,0.0234,0.0257
